측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지 1시간(㎍/㎥),미세먼지 24시간(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
202001010000,100,도심권,111123,종로구,20,23,15,0.005,0.035,0.5,0.004
202001010000,100,도심권,111131,용산구,12,15,13,0.003,0.032,0.5,0.003
202001010000,100,도심권,111121,중구,22,23,18,0.002,0.036,0.5,0.003
202001010000,101,서북권,111181,은평구,18,22,12,0.012,0.021,0.5,0.003
202001010000,101,서북권,111191,서대문구,19,23,10,0.005,0.036,0.6,0.003
202001010100,100,도심권,111123,종로구,25,23,18,0.002,0.044,0.7,0.004
202001010100,100,도심권,111131,용산구,20,20,15,0.002,0.036,0.5,0.003
202001010100,100,도심권,111121,중구,24,23,19,0.002,0.036,0.5,0.003
202001010100,101,서북권,111181,은평구,20,21,13,0.008,0.025,0.5,0.003
202001010100,101,서북권,111191,서대문구,16,22,7,0.005,0.036,0.7,0.003
202001010200,100,도심권,111123,종로구,26,24,18,0.002,0.043,0.7,0.004
202001010200,100,도심권,111131,용산구,24,22,17,0.002,0.036,1,0.003
202001010200,100,도심권,111121,중구,25,23,21,0.001,0.039,0.6,0.003
202001010200,101,서북권,111181,은평구,19,20,12,0.002,0.034,0.6,0.003
202001010200,101,서북권,111191,서대문구,23,22,10,0.002,0.041,0.7,0.003
202001010300,100,도심권,111123,종로구,29,25,20,0.001,0.043,0.8,0.004
202001010300,100,도심권,111131,용산구,20,21,18,0.002,0.035,0.6,0.003
202001010300,100,도심권,111121,중구,29,24,23,0.001,0.037,0.9,0.003
202001010300,101,서북권,111181,은평구,19,20,12,0.001,0.038,0.7,0.003
202001010300,101,서북권,111191,서대문구,25,22,11,0.002,0.042,0.8,0.003
202001010400,100,도심권,111123,종로구,26,26,18,0.002,0.04,0.6,0.003
202001010400,100,도심권,111131,용산구,18,21,14,0.002,0.034,0.5,0.003
202001010400,100,도심권,111121,중구,26,25,22,0.001,0.036,0.6,0.002
202001010400,101,서북권,111181,은평구,24,21,13,0.001,0.038,0.7,0.003
202001010400,101,서북권,111191,서대문구,26,23,11,0.002,0.042,0.9,0.003
202001010500,100,도심권,111123,종로구,25,26,17,0.001,0.04,0.5,0.004
202001010500,100,도심권,111131,용산구,20,20,14,0.002,0.034,0.5,0.002
202001010500,100,도심권,111121,중구,25,25,19,0.001,0.035,0.6,0.002
202001010500,101,서북권,111181,은평구,30,22,13,0.001,0.037,0.8,0.003
